occupancy_date,occupied_beds,occupied_rooms,location_city,sector,program_model,service_user_count,occupancy_rate_rooms,capacity_actual_room,overnight_service_type
2022-01-01,23,NA,Toronto,Men,Transitional,23,NA,NA,Shelter
2022-01-01,NA,32,Toronto,Families,Emergency,83,100,32,Shelter
2022-01-01,NA,61,,Mixed Adult,Emergency,68,85.92,71,Motel/Hotel Shelter
2022-01-01,NA,13,,Mixed Adult,Emergency,13,50,26,Isolation/Recovery Site
2022-01-01,NA,41,,Mixed Adult,Emergency,48,77.36,53,Isolation/Recovery Site
2022-01-01,NA,22,Scarborough,Mixed Adult,Emergency,43,100,22,Motel/Hotel Shelter
2022-01-01,75,NA,Toronto,Mixed Adult,Transitional,75,NA,NA,Shelter
2022-01-01,47,NA,Toronto,Men,Emergency,47,NA,NA,Shelter
2022-01-01,44,NA,Toronto,Men,Emergency,44,NA,NA,Shelter
2022-01-01,71,NA,Toronto,Men,Emergency,71,NA,NA,Shelter
2022-01-01,54,NA,Toronto,Men,Emergency,54,NA,NA,Shelter
2022-01-01,17,NA,Toronto,Men,Transitional,17,NA,NA,Shelter
2022-01-01,8,NA,Toronto,Men,Emergency,8,NA,NA,Shelter
2022-01-01,44,NA,Toronto,Men,Emergency,44,NA,NA,Shelter
2022-01-01,13,NA,Toronto,Mixed Adult,Transitional,13,NA,NA,Shelter
2022-01-01,NA,60,Toronto,Mixed Adult,Emergency,66,92.31,65,Motel/Hotel Shelter
2022-01-01,4,NA,Toronto,Women,Emergency,4,NA,NA,Shelter
2022-01-01,70,NA,Toronto,Women,Emergency,70,NA,NA,Shelter
2022-01-01,21,NA,Toronto,Men,Emergency,21,NA,NA,Shelter
2022-01-01,1,NA,Toronto,Youth,Transitional,1,NA,NA,Shelter
2022-01-01,NA,42,Toronto,Youth,Emergency,42,100,42,Motel/Hotel Shelter
2022-01-01,28,NA,Toronto,Youth,Emergency,28,NA,NA,Shelter
2022-01-01,27,NA,Toronto,Youth,Transitional,27,NA,NA,Shelter
2022-01-01,44,NA,Toronto,Mixed Adult,Emergency,44,NA,NA,24-Hour Respite Site
2022-01-01,50,NA,Scarborough,Mixed Adult,Emergency,50,NA,NA,24-Hour Respite Site
2022-01-01,NA,226,Toronto,Mixed Adult,Emergency,243,97.84,231,Motel/Hotel Shelter
2022-01-01,41,NA,Toronto,Mixed Adult,Emergency,41,NA,NA,Shelter
2022-01-01,NA,89,Toronto,Mixed Adult,Emergency,89,98.89,90,Motel/Hotel Shelter
2022-01-01,NA,49,Toronto,Mixed Adult,Emergency,51,100,49,Motel/Hotel Shelter
2022-01-01,22,NA,Toronto,Men,Emergency,22,NA,NA,Shelter
2022-01-01,42,NA,Toronto,Youth,Transitional,42,NA,NA,Shelter
2022-01-01,16,NA,Toronto,Youth,Emergency,16,NA,NA,Shelter
2022-01-01,NA,37,Toronto,Youth,Emergency,37,100,37,Motel/Hotel Shelter
2022-01-01,4,NA,Toronto,Mixed Adult,Transitional,4,NA,NA,Shelter
2022-01-01,10,NA,Toronto,Mixed Adult,Transitional,10,NA,NA,Shelter
2022-01-01,33,NA,Toronto,Women,Transitional,33,NA,NA,Shelter
2022-01-01,24,NA,Toronto,Women,Transitional,24,NA,NA,Shelter
2022-01-01,40,NA,Toronto,Women,Emergency,40,NA,NA,24-Hour Women's Drop-in
2022-01-01,23,NA,Toronto,Women,Emergency,23,NA,NA,Shelter
2022-01-01,54,NA,Toronto,Mixed Adult,Emergency,54,NA,NA,Shelter
2022-01-01,NA,263,North York,Mixed Adult,Emergency,272,100,263,Motel/Hotel Shelter
2022-01-01,45,NA,Toronto,Mixed Adult,Emergency,45,NA,NA,24-Hour Respite Site
2022-01-01,2,NA,Toronto,Youth,Emergency,2,NA,NA,Shelter
2022-01-01,27,NA,Toronto,Youth,Transitional,27,NA,NA,Shelter
2022-01-01,25,NA,Toronto,Men,Transitional,25,NA,NA,Shelter
2022-01-01,25,NA,Toronto,Men,Emergency,25,NA,NA,Shelter
2022-01-01,5,NA,Toronto,Men,Transitional,5,NA,NA,Shelter
2022-01-01,NA,45,Toronto,Men,Emergency,45,100,45,Motel/Hotel Shelter
2022-01-01,50,NA,Toronto,Women,Emergency,50,NA,NA,Shelter
2022-01-01,NA,90,Toronto,Mixed Adult,Emergency,98,100,90,Motel/Hotel Shelter
2022-01-01,48,NA,Toronto,Mixed Adult,Emergency,48,NA,NA,Shelter
2022-01-01,19,NA,Toronto,Men,Emergency,19,NA,NA,Shelter
2022-01-01,30,NA,Toronto,Women,Emergency,30,NA,NA,Shelter
2022-01-01,48,NA,Scarborough,Mixed Adult,Emergency,48,NA,NA,Shelter
2022-01-01,NA,225,Toronto,Mixed Adult,Emergency,253,100,225,Motel/Hotel Shelter
2022-01-01,NA,246,Scarborough,Mixed Adult,Emergency,283,100,246,Motel/Hotel Shelter
2022-01-01,174,NA,Toronto,Mixed Adult,Emergency,174,NA,NA,24-Hour Respite Site
2022-01-01,23,NA,Toronto,Mixed Adult,Emergency,23,NA,NA,Shelter
2022-01-01,37,NA,Toronto,Mixed Adult,Emergency,37,NA,NA,Shelter
2022-01-01,90,NA,North York,Men,Emergency,90,NA,NA,Shelter
2022-01-01,35,NA,North York,Women,Emergency,35,NA,NA,Shelter
2022-01-01,1,NA,Toronto,Mixed Adult,Emergency,1,NA,NA,Shelter
2022-01-01,63,NA,Toronto,Mixed Adult,Transitional,63,NA,NA,Shelter
2022-01-01,18,NA,Toronto,Youth,Emergency,18,NA,NA,Shelter
2022-01-01,NA,27,Scarborough,Youth,Emergency,27,96.43,28,Motel/Hotel Shelter
2022-01-01,15,NA,Toronto,Youth,Emergency,15,NA,NA,Shelter
2022-01-01,27,NA,Toronto,Mixed Adult,Emergency,27,NA,NA,24-Hour Respite Site
2022-01-01,39,NA,Toronto,Men,Emergency,39,NA,NA,Shelter
2022-01-01,13,NA,Toronto,Men,Transitional,13,NA,NA,Shelter
2022-01-01,7,NA,Toronto,Youth,Emergency,7,NA,NA,Shelter
2022-01-01,NA,9,Toronto,Youth,Emergency,9,64.29,14,Motel/Hotel Shelter
2022-01-01,19,NA,Toronto,Women,Emergency,19,NA,NA,24-Hour Women's Drop-in
2022-01-01,15,NA,Toronto,Women,Transitional,15,NA,NA,Shelter
2022-01-01,18,NA,Toronto,Women,Emergency,18,NA,NA,Shelter
2022-01-01,22,NA,Toronto,Women,Emergency,22,NA,NA,Shelter
2022-01-01,24,NA,Toronto,Women,Transitional,24,NA,NA,Shelter
2022-01-01,14,NA,Toronto,Mixed Adult,Emergency,14,NA,NA,24-Hour Respite Site
2022-01-01,43,NA,Toronto,Mixed Adult,Emergency,43,NA,NA,24-Hour Respite Site
2022-01-01,NA,30,Toronto,Men,Emergency,30,100,30,Motel/Hotel Shelter
2022-01-01,26,NA,Toronto,Women,Emergency,26,NA,NA,Shelter
2022-01-01,NA,33,Toronto,Women,Emergency,47,100,33,Motel/Hotel Shelter
2022-01-01,NA,62,Toronto,Families,Transitional,219,98.41,63,Shelter
2022-01-01,67,NA,Toronto,Mixed Adult,Emergency,67,NA,NA,Shelter
2022-01-01,NA,22,Toronto,Families,Transitional,63,95.65,23,Shelter
2022-01-01,48,NA,Toronto,Women,Emergency,48,NA,NA,Shelter
2022-01-01,NA,71,North York,Women,Emergency,71,98.61,72,Motel/Hotel Shelter
2022-01-01,52,NA,Toronto,Men,Emergency,52,NA,NA,Shelter
2022-01-01,NA,129,Scarborough,Men,Emergency,129,100,129,Motel/Hotel Shelter
2022-01-01,227,NA,Toronto,Men,Emergency,227,NA,NA,Shelter
2022-01-01,36,NA,Toronto,Men,Emergency,36,NA,NA,Shelter
2022-01-01,NA,74,North York,Men,Emergency,74,100,74,Motel/Hotel Shelter
2022-01-01,36,NA,Toronto,Men,Emergency,36,NA,NA,Shelter
2022-01-01,29,NA,Toronto,Women,Emergency,29,NA,NA,Shelter
2022-01-01,40,NA,,Men,Emergency,40,NA,NA,Shelter
2022-01-01,NA,3,Toronto,Families,Emergency,10,100,3,Shelter
2022-01-01,6,NA,Toronto,Mixed Adult,Emergency,6,NA,NA,Shelter
2022-01-01,13,NA,Toronto,Youth,Emergency,13,NA,NA,Shelter
2022-01-01,28,NA,Toronto,Mixed Adult,Emergency,28,NA,NA,24-Hour Respite Site
2022-01-01,3,NA,,Women,Emergency,3,NA,NA,Shelter
2022-01-01,NA,22,Toronto,Families,Emergency,74,95.65,23,Shelter
2022-01-01,19,NA,Toronto,Youth,Emergency,19,NA,NA,Shelter
2022-01-01,NA,27,Toronto,Youth,Emergency,27,96.43,28,Motel/Hotel Shelter
2022-01-01,22,NA,Toronto,Youth,Transitional,22,NA,NA,Shelter
2022-01-01,24,NA,Toronto,Women,Emergency,24,NA,NA,Shelter
2022-01-01,21,NA,Toronto,Youth,Emergency,21,NA,NA,Shelter
2022-01-01,16,NA,Toronto,Women,Emergency,16,NA,NA,Shelter
2022-01-01,6,NA,Toronto,Youth,Emergency,6,NA,NA,Shelter
2022-01-01,23,NA,Etobicoke,Youth,Emergency,23,NA,NA,Shelter
2022-01-01,13,NA,Etobicoke,Youth,Transitional,13,NA,NA,Shelter
2022-01-01,10,NA,Scarborough,Youth,Emergency,10,NA,NA,Shelter
2022-01-01,29,NA,Scarborough,Youth,Transitional,29,NA,NA,Shelter
2022-01-02,NA,48,North York,Men,Emergency,49,100,48,Motel/Hotel Shelter
2022-01-02,NA,9,North York,Mixed Adult,Emergency,18,100,9,Motel/Hotel Shelter
2022-01-02,NA,17,North York,Women,Emergency,17,100,17,Motel/Hotel Shelter
2022-01-02,8,NA,Toronto,Mixed Adult,Emergency,8,NA,NA,Shelter
2022-01-02,NA,107,North York,Families,Emergency,294,100,107,Motel/Hotel Shelter
2022-01-02,NA,106,North York,Families,Emergency,336,100,106,Motel/Hotel Shelter
2022-01-02,NA,13,North York,Mixed Adult,Emergency,13,100,13,Motel/Hotel Shelter
2022-01-02,NA,145,Etobicoke,Mixed Adult,Emergency,149,100,145,Motel/Hotel Shelter
2022-01-02,NA,38,Toronto,Men,Emergency,38,100,38,Motel/Hotel Shelter
2022-01-02,32,NA,Toronto,Men,Emergency,32,NA,NA,Shelter
2022-01-02,15,NA,Toronto,Men,Emergency,15,NA,NA,Shelter
2022-01-02,NA,21,Toronto,Families,Emergency,57,100,21,Shelter
2022-01-02,NA,63,Toronto,Families,Emergency,214,100,63,Shelter
2022-01-02,NA,14,North York,Families,Emergency,27,100,14,Motel/Hotel Shelter
2022-01-02,NA,73,North York,Mixed Adult,Emergency,73,98.65,74,Motel/Hotel Shelter
2022-01-02,11,NA,Toronto,Men,Transitional,11,NA,NA,Shelter
2022-01-02,NA,65,Toronto,Mixed Adult,Emergency,122,100,65,Motel/Hotel Shelter
2022-01-02,NA,100,Scarborough,Women,Emergency,100,100,100,Motel/Hotel Shelter
2022-01-02,NA,43,Toronto,Families,Emergency,150,100,43,Shelter
2022-01-02,2,NA,Toronto,Families,Emergency,2,NA,NA,Shelter
2022-01-02,NA,39,Toronto,Families,Emergency,111,100,39,Motel/Hotel Shelter
2022-01-02,NA,6,Toronto,Families,Emergency,6,100,6,Motel/Hotel Shelter
2022-01-02,NA,20,Toronto,Families,Emergency,45,100,20,Motel/Hotel Shelter
2022-01-02,34,NA,Toronto,Men,Transitional,34,NA,NA,Shelter
2022-01-02,NA,58,Vaughan,Mixed Adult,Emergency,62,86.57,67,Motel/Hotel Shelter
2022-01-02,24,NA,Toronto,Men,Transitional,24,NA,NA,Shelter
2022-01-02,NA,33,Toronto,Families,Emergency,86,100,33,Shelter
2022-01-02,NA,61,,Mixed Adult,Emergency,68,85.92,71,Motel/Hotel Shelter
2022-01-02,NA,10,,Mixed Adult,Emergency,10,38.46,26,Isolation/Recovery Site
2022-01-02,NA,41,,Mixed Adult,Emergency,48,77.36,53,Isolation/Recovery Site
2022-01-02,NA,22,Scarborough,Mixed Adult,Emergency,43,100,22,Motel/Hotel Shelter
2022-01-02,75,NA,Toronto,Mixed Adult,Transitional,75,NA,NA,Shelter
2022-01-02,47,NA,Toronto,Men,Emergency,47,NA,NA,Shelter
2022-01-02,44,NA,Toronto,Men,Emergency,44,NA,NA,Shelter
2022-01-02,71,NA,Toronto,Men,Emergency,71,NA,NA,Shelter
2022-01-02,53,NA,Toronto,Men,Emergency,53,NA,NA,Shelter
2022-01-02,17,NA,Toronto,Men,Transitional,17,NA,NA,Shelter
2022-01-02,8,NA,Toronto,Men,Emergency,8,NA,NA,Shelter
2022-01-02,44,NA,Toronto,Men,Emergency,44,NA,NA,Shelter
2022-01-02,13,NA,Toronto,Mixed Adult,Transitional,13,NA,NA,Shelter
2022-01-02,NA,60,Toronto,Mixed Adult,Emergency,66,92.31,65,Motel/Hotel Shelter
2022-01-02,4,NA,Toronto,Women,Emergency,4,NA,NA,Shelter
2022-01-02,73,NA,Toronto,Women,Emergency,73,NA,NA,Shelter
2022-01-02,21,NA,Toronto,Men,Emergency,21,NA,NA,Shelter
2022-01-02,1,NA,Toronto,Youth,Transitional,1,NA,NA,Shelter
2022-01-02,NA,42,Toronto,Youth,Emergency,42,100,42,Motel/Hotel Shelter
2022-01-02,29,NA,Toronto,Youth,Emergency,29,NA,NA,Shelter
2022-01-02,27,NA,Toronto,Youth,Transitional,27,NA,NA,Shelter
2022-01-02,44,NA,Toronto,Mixed Adult,Emergency,44,NA,NA,24-Hour Respite Site
2022-01-02,46,NA,Scarborough,Mixed Adult,Emergency,46,NA,NA,24-Hour Respite Site
2022-01-02,NA,226,Toronto,Mixed Adult,Emergency,243,97.84,231,Motel/Hotel Shelter
2022-01-02,41,NA,Toronto,Mixed Adult,Emergency,41,NA,NA,Shelter
2022-01-02,NA,89,Toronto,Mixed Adult,Emergency,89,98.89,90,Motel/Hotel Shelter
2022-01-02,NA,49,Toronto,Mixed Adult,Emergency,51,100,49,Motel/Hotel Shelter
2022-01-02,22,NA,Toronto,Men,Emergency,22,NA,NA,Shelter
2022-01-02,41,NA,Toronto,Youth,Transitional,41,NA,NA,Shelter
2022-01-02,16,NA,Toronto,Youth,Emergency,16,NA,NA,Shelter
2022-01-02,NA,37,Toronto,Youth,Emergency,37,100,37,Motel/Hotel Shelter
2022-01-02,4,NA,Toronto,Mixed Adult,Transitional,4,NA,NA,Shelter
2022-01-02,10,NA,Toronto,Mixed Adult,Transitional,10,NA,NA,Shelter
2022-01-02,33,NA,Toronto,Women,Transitional,33,NA,NA,Shelter
2022-01-02,24,NA,Toronto,Women,Transitional,24,NA,NA,Shelter
2022-01-02,41,NA,Toronto,Women,Emergency,41,NA,NA,24-Hour Women's Drop-in
2022-01-02,23,NA,Toronto,Women,Emergency,23,NA,NA,Shelter
2022-01-02,54,NA,Toronto,Mixed Adult,Emergency,54,NA,NA,Shelter
2022-01-02,NA,263,North York,Mixed Adult,Emergency,272,100,263,Motel/Hotel Shelter
2022-01-02,45,NA,Toronto,Mixed Adult,Emergency,45,NA,NA,24-Hour Respite Site
2022-01-02,2,NA,Toronto,Youth,Emergency,2,NA,NA,Shelter
2022-01-02,27,NA,Toronto,Youth,Transitional,27,NA,NA,Shelter
2022-01-02,25,NA,Toronto,Men,Transitional,25,NA,NA,Shelter
2022-01-02,25,NA,Toronto,Men,Emergency,25,NA,NA,Shelter
2022-01-02,5,NA,Toronto,Men,Transitional,5,NA,NA,Shelter
2022-01-02,NA,45,Toronto,Men,Emergency,45,100,45,Motel/Hotel Shelter
2022-01-02,50,NA,Toronto,Women,Emergency,50,NA,NA,Shelter
2022-01-02,NA,90,Toronto,Mixed Adult,Emergency,98,100,90,Motel/Hotel Shelter
2022-01-02,48,NA,Toronto,Mixed Adult,Emergency,48,NA,NA,Shelter
2022-01-02,18,NA,Toronto,Men,Emergency,18,NA,NA,Shelter
2022-01-02,30,NA,Toronto,Women,Emergency,30,NA,NA,Shelter
2022-01-02,49,NA,Scarborough,Mixed Adult,Emergency,49,NA,NA,Shelter
2022-01-02,NA,225,Toronto,Mixed Adult,Emergency,254,100,225,Motel/Hotel Shelter
2022-01-02,NA,247,Scarborough,Mixed Adult,Emergency,284,100,247,Motel/Hotel Shelter
2022-01-02,174,NA,Toronto,Mixed Adult,Emergency,174,NA,NA,24-Hour Respite Site
2022-01-02,29,NA,Toronto,Mixed Adult,Emergency,29,NA,NA,Shelter
2022-01-02,37,NA,Toronto,Mixed Adult,Emergency,37,NA,NA,Shelter
2022-01-02,90,NA,North York,Men,Emergency,90,NA,NA,Shelter
2022-01-02,35,NA,North York,Women,Emergency,35,NA,NA,Shelter
2022-01-02,1,NA,Toronto,Mixed Adult,Emergency,1,NA,NA,Shelter
2022-01-02,63,NA,Toronto,Mixed Adult,Transitional,63,NA,NA,Shelter
2022-01-02,18,NA,Toronto,Youth,Emergency,18,NA,NA,Shelter
2022-01-02,NA,28,Scarborough,Youth,Emergency,28,100,28,Motel/Hotel Shelter
2022-01-02,15,NA,Toronto,Youth,Emergency,15,NA,NA,Shelter
2022-01-02,27,NA,Toronto,Mixed Adult,Emergency,27,NA,NA,24-Hour Respite Site
2022-01-02,39,NA,Toronto,Men,Emergency,39,NA,NA,Shelter
2022-01-02,13,NA,Toronto,Men,Transitional,13,NA,NA,Shelter
2022-01-02,7,NA,Toronto,Youth,Emergency,7,NA,NA,Shelter
2022-01-02,NA,9,Toronto,Youth,Emergency,9,64.29,14,Motel/Hotel Shelter
2022-01-02,19,NA,Toronto,Women,Emergency,19,NA,NA,24-Hour Women's Drop-in
2022-01-02,15,NA,Toronto,Women,Transitional,15,NA,NA,Shelter
2022-01-02,18,NA,Toronto,Women,Emergency,18,NA,NA,Shelter
2022-01-02,22,NA,Toronto,Women,Emergency,22,NA,NA,Shelter
2022-01-02,24,NA,Toronto,Women,Transitional,24,NA,NA,Shelter
2022-01-02,13,NA,Toronto,Mixed Adult,Emergency,13,NA,NA,24-Hour Respite Site
2022-01-02,43,NA,Toronto,Mixed Adult,Emergency,43,NA,NA,24-Hour Respite Site
2022-01-02,NA,30,Toronto,Men,Emergency,30,100,30,Motel/Hotel Shelter
2022-01-02,27,NA,Toronto,Women,Emergency,27,NA,NA,Shelter
2022-01-02,NA,33,Toronto,Women,Emergency,47,100,33,Motel/Hotel Shelter
2022-01-02,NA,62,Toronto,Families,Transitional,219,98.41,63,Shelter
2022-01-02,67,NA,Toronto,Mixed Adult,Emergency,67,NA,NA,Shelter
2022-01-02,NA,22,Toronto,Families,Transitional,63,95.65,23,Shelter
2022-01-02,48,NA,Toronto,Women,Emergency,48,NA,NA,Shelter
2022-01-02,NA,71,North York,Women,Emergency,71,98.61,72,Motel/Hotel Shelter
2022-01-02,52,NA,Toronto,Men,Emergency,52,NA,NA,Shelter
2022-01-02,NA,129,Scarborough,Men,Emergency,129,100,129,Motel/Hotel Shelter
2022-01-02,222,NA,Toronto,Men,Emergency,222,NA,NA,Shelter
2022-01-02,36,NA,Toronto,Men,Emergency,36,NA,NA,Shelter
2022-01-02,NA,74,North York,Men,Emergency,74,100,74,Motel/Hotel Shelter
2022-01-02,35,NA,Toronto,Men,Emergency,35,NA,NA,Shelter
2022-01-02,28,NA,Toronto,Women,Emergency,28,NA,NA,Shelter
2022-01-02,39,NA,,Men,Emergency,39,NA,NA,Shelter
2022-01-02,NA,3,Toronto,Families,Emergency,10,100,3,Shelter
2022-01-02,6,NA,Toronto,Mixed Adult,Emergency,6,NA,NA,Shelter
2022-01-02,13,NA,Toronto,Youth,Emergency,13,NA,NA,Shelter
2022-01-02,28,NA,Toronto,Mixed Adult,Emergency,28,NA,NA,24-Hour Respite Site
2022-01-02,3,NA,,Women,Emergency,3,NA,NA,Shelter
2022-01-02,NA,22,Toronto,Families,Emergency,74,95.65,23,Shelter
2022-01-02,19,NA,Toronto,Youth,Emergency,19,NA,NA,Shelter
2022-01-02,NA,27,Toronto,Youth,Emergency,27,96.43,28,Motel/Hotel Shelter
2022-01-02,22,NA,Toronto,Youth,Transitional,22,NA,NA,Shelter
2022-01-02,24,NA,Toronto,Women,Emergency,24,NA,NA,Shelter
2022-01-02,21,NA,Toronto,Youth,Emergency,21,NA,NA,Shelter
2022-01-02,18,NA,Toronto,Women,Emergency,18,NA,NA,Shelter
2022-01-02,7,NA,Toronto,Youth,Emergency,7,NA,NA,Shelter
2022-01-02,23,NA,Etobicoke,Youth,Emergency,23,NA,NA,Shelter
2022-01-02,13,NA,Etobicoke,Youth,Transitional,13,NA,NA,Shelter
2022-01-02,10,NA,Scarborough,Youth,Emergency,10,NA,NA,Shelter
2022-01-02,29,NA,Scarborough,Youth,Transitional,29,NA,NA,Shelter
2022-01-03,NA,48,North York,Men,Emergency,49,100,48,Motel/Hotel Shelter
2022-01-03,NA,9,North York,Mixed Adult,Emergency,18,100,9,Motel/Hotel Shelter
2022-01-03,NA,17,North York,Women,Emergency,17,100,17,Motel/Hotel Shelter
2022-01-03,8,NA,Toronto,Mixed Adult,Emergency,8,NA,NA,Shelter
2022-01-03,NA,105,North York,Families,Emergency,290,98.13,107,Motel/Hotel Shelter
2022-01-03,NA,106,North York,Families,Emergency,336,100,106,Motel/Hotel Shelter
2022-01-03,NA,13,North York,Mixed Adult,Emergency,13,100,13,Motel/Hotel Shelter
2022-01-03,NA,143,Etobicoke,Mixed Adult,Emergency,147,100,143,Motel/Hotel Shelter
2022-01-03,NA,38,Toronto,Men,Emergency,38,100,38,Motel/Hotel Shelter
2022-01-03,32,NA,Toronto,Men,Emergency,32,NA,NA,Shelter
2022-01-03,15,NA,Toronto,Men,Emergency,15,NA,NA,Shelter
2022-01-03,NA,21,Toronto,Families,Emergency,57,100,21,Shelter
2022-01-03,NA,63,Toronto,Families,Emergency,214,100,63,Shelter
2022-01-03,NA,13,North York,Families,Emergency,25,92.86,14,Motel/Hotel Shelter
2022-01-03,NA,73,North York,Mixed Adult,Emergency,73,98.65,74,Motel/Hotel Shelter
2022-01-03,10,NA,Toronto,Men,Transitional,10,NA,NA,Shelter
2022-01-03,NA,66,Toronto,Mixed Adult,Emergency,123,100,66,Motel/Hotel Shelter
2022-01-03,NA,100,Scarborough,Women,Emergency,100,100,100,Motel/Hotel Shelter
2022-01-03,NA,43,Toronto,Families,Emergency,154,100,43,Shelter
2022-01-03,2,NA,Toronto,Families,Emergency,2,NA,NA,Shelter
2022-01-03,NA,39,Toronto,Families,Emergency,111,100,39,Motel/Hotel Shelter
2022-01-03,NA,6,Toronto,Families,Emergency,6,100,6,Motel/Hotel Shelter
2022-01-03,NA,20,Toronto,Families,Emergency,45,100,20,Motel/Hotel Shelter
2022-01-03,34,NA,Toronto,Men,Transitional,34,NA,NA,Shelter
2022-01-03,NA,58,Vaughan,Mixed Adult,Emergency,62,86.57,67,Motel/Hotel Shelter
2022-01-03,24,NA,Toronto,Men,Transitional,24,NA,NA,Shelter
2022-01-03,NA,33,Toronto,Families,Emergency,87,100,33,Shelter
2022-01-03,NA,61,,Mixed Adult,Emergency,68,85.92,71,Motel/Hotel Shelter
2022-01-03,NA,8,,Mixed Adult,Emergency,8,30.77,26,Isolation/Recovery Site
2022-01-03,NA,49,,Mixed Adult,Emergency,56,90.74,54,Isolation/Recovery Site
2022-01-03,NA,22,Scarborough,Mixed Adult,Emergency,42,100,22,Motel/Hotel Shelter
2022-01-03,75,NA,Toronto,Mixed Adult,Transitional,75,NA,NA,Shelter
2022-01-03,45,NA,Toronto,Men,Emergency,45,NA,NA,Shelter
2022-01-03,43,NA,Toronto,Men,Emergency,43,NA,NA,Shelter
2022-01-03,71,NA,Toronto,Men,Emergency,71,NA,NA,Shelter
2022-01-03,55,NA,Toronto,Men,Emergency,55,NA,NA,Shelter
2022-01-03,17,NA,Toronto,Men,Transitional,17,NA,NA,Shelter
2022-01-03,8,NA,Toronto,Men,Emergency,8,NA,NA,Shelter
2022-01-03,44,NA,Toronto,Men,Emergency,44,NA,NA,Shelter
2022-01-03,10,NA,Toronto,Mixed Adult,Emergency,10,NA,NA,Warming Centre
2022-01-03,13,NA,Toronto,Mixed Adult,Transitional,13,NA,NA,Shelter
2022-01-03,NA,60,Toronto,Mixed Adult,Emergency,66,92.31,65,Motel/Hotel Shelter
2022-01-03,4,NA,Toronto,Women,Emergency,4,NA,NA,Shelter
2022-01-03,73,NA,Toronto,Women,Emergency,73,NA,NA,Shelter
2022-01-03,21,NA,Toronto,Men,Emergency,21,NA,NA,Shelter
2022-01-03,1,NA,Toronto,Youth,Transitional,1,NA,NA,Shelter
2022-01-03,NA,42,Toronto,Youth,Emergency,42,100,42,Motel/Hotel Shelter
2022-01-03,32,NA,Toronto,Youth,Emergency,32,NA,NA,Shelter
2022-01-03,27,NA,Toronto,Youth,Transitional,27,NA,NA,Shelter
2022-01-03,44,NA,Toronto,Mixed Adult,Emergency,44,NA,NA,24-Hour Respite Site
2022-01-03,48,NA,Scarborough,Mixed Adult,Emergency,48,NA,NA,24-Hour Respite Site
2022-01-03,NA,226,Toronto,Mixed Adult,Emergency,243,97.84,231,Motel/Hotel Shelter
2022-01-03,41,NA,Toronto,Mixed Adult,Emergency,41,NA,NA,Shelter
2022-01-03,NA,89,Toronto,Mixed Adult,Emergency,89,98.89,90,Motel/Hotel Shelter
2022-01-03,NA,49,Toronto,Mixed Adult,Emergency,51,100,49,Motel/Hotel Shelter
2022-01-03,22,NA,Toronto,Men,Emergency,22,NA,NA,Shelter
2022-01-03,41,NA,Toronto,Youth,Transitional,41,NA,NA,Shelter
2022-01-03,16,NA,Toronto,Youth,Emergency,16,NA,NA,Shelter
